Name,Team,Age,Baseline,MeanOvr,MeanDelta,StdDelta,MinOvr,MaxOvr,Q10,Q25,Q75,Q90,PctPositive
Alex Acker,FA,29,36.0,35.3,-0.705,4.032,32.0,56.0,33.0,34.0,35.0,36.0,0.064
LaMarcus Aldridge,NOL,27,65.0,65.5,0.482,0.743,63.0,68.0,65.0,65.0,66.0,66.0,0.489
Ray Allen,CHA,37,59.0,55.7,-3.270,0.727,54.0,58.0,55.0,55.0,56.0,57.0,0.000
Tony Allen,FA,30,41.0,38.9,-2.140,0.911,37.0,41.0,38.0,38.0,39.0,40.0,0.000
Rafer Alston,FA,36,41.0,35.4,-5.620,1.046,33.0,39.0,34.0,35.0,36.0,37.0,0.000
Carmelo Anthony,OKC,28,60.0,60.8,0.788,0.877,59.0,73.0,60.0,60.0,61.0,62.0,0.641
Gilbert Arenas,MIA,30,75.0,75.7,0.682,0.609,74.0,77.0,75.0,75.0,76.0,76.0,0.631
Trevor Ariza,CLE,27,68.0,68.6,0.566,0.729,67.0,71.0,68.0,68.0,69.0,69.0,0.532
Hilton Armstrong,FA,28,45.0,44.8,-0.220,3.356,41.0,63.0,43.0,43.0,45.0,46.0,0.124
Metta World Peace,BKN,33,69.0,67.6,-1.364,0.598,66.0,69.0,67.0,67.0,68.0,68.0,0.000
Chucky Atkins,FA,38,34.0,30.6,-3.406,0.786,29.0,33.0,30.0,30.0,31.0,32.0,0.000
James Augustine,FA,28,44.0,45.8,1.777,2.738,42.0,61.0,44.0,44.0,46.0,47.0,0.744
Kelenna Azubuike,SAC,29,52.0,47.4,-4.574,2.559,44.0,65.0,46.0,46.0,48.0,49.0,0.027
Renaldo Balkman,FA,28,50.0,49.8,-0.227,2.555,46.0,66.0,48.0,49.0,50.0,51.0,0.150
Leandro Barbosa,TOR,30,68.0,68.2,0.241,0.666,66.0,70.0,67.0,68.0,69.0,69.0,0.330
J.J. Barea,FA,28,37.0,40.4,3.401,3.669,37.0,57.0,38.0,39.0,40.0,41.0,0.974
Andrea Bargnani (PO),CHA,27,58.0,57.9,-0.128,1.267,56.0,71.0,57.0,57.0,58.0,59.0,0.152
Earl Barron,FA,31,42.0,37.1,-4.918,0.971,35.0,40.0,36.0,36.0,38.0,38.0,0.000
Brandon Bass,FA,27,43.0,41.0,-2.002,3.809,37.0,62.0,39.0,40.0,41.0,42.0,0.050
Esteban Batista (TO),DEN,29,60.0,60.7,0.704,0.749,59.0,71.0,60.0,60.0,61.0,61.0,0.619
Shane Battier,WAS,34,53.0,50.8,-2.217,0.912,48.0,53.0,50.0,50.0,51.0,52.0,0.000
Charlie Bell,FA,33,57.0,55.8,-1.214,0.578,54.0,57.0,55.0,55.0,56.0,56.0,0.000
Raja Bell,FA,36,38.0,33.5,-4.509,1.009,31.0,36.0,32.0,33.0,34.0,35.0,0.000
