Name,Team,Age,Baseline,MeanOvr,MeanDelta,StdDelta,MinOvr,MaxOvr,Q10,Q25,Q75,Q90,PctPositive
Mike Bibby,BKN,34,61.0,59.8,-1.189,0.577,58.0,61.0,59.0,59.0,60.0,60.0,0.000
Andris Biedriņš,BOS,26,55.0,55.9,0.855,1.355,53.0,68.0,55.0,55.0,56.0,57.0,0.613
Chauncey Billups,IND,36,57.0,53.4,-3.586,1.079,50.0,56.0,52.0,53.0,54.0,55.0,0.000
Steve Blake,FA,32,47.0,42.5,-4.469,1.048,39.0,45.0,41.0,42.0,43.0,44.0,0.000
Will Blalock,FA,29,33.0,32.0,-0.957,4.617,28.0,54.0,30.0,30.0,31.0,32.0,0.084
Andray Blatche,BOS,26,56.0,54.9,-1.114,1.207,52.0,70.0,54.0,54.0,55.0,56.0,0.011
Andrew Bogut,BKN,28,51.0,48.4,-2.607,2.603,45.0,64.0,47.0,47.0,49.0,50.0,0.031
Matt Bonner,FA,32,37.0,36.4,-0.591,0.728,35.0,38.0,36.0,36.0,37.0,37.0,0.065
Josh Boone,FA,28,36.0,35.2,-0.805,4.486,32.0,56.0,33.0,34.0,35.0,35.0,0.076
Carlos Boozer,HOU,31,63.0,62.2,-0.837,0.578,61.0,64.0,62.0,62.0,63.0,63.0,0.001
Chris Bosh,CHA,28,68.0,68.4,0.396,0.730,67.0,71.0,68.0,68.0,69.0,69.0,0.436
Earl Boykins,FA,36,42.0,36.8,-5.210,1.051,34.0,41.0,36.0,36.0,37.0,38.0,0.000
Elton Brand,CHA,33,65.0,64.1,-0.878,0.581,62.0,65.0,63.0,64.0,64.0,65.0,0.000
Ronnie Brewer,MIL,27,63.0,63.3,0.292,0.710,61.0,65.0,62.0,63.0,64.0,64.0,0.380
Primož Brezec,FA,33,35.0,34.7,-0.331,0.663,33.0,36.0,34.0,34.0,35.0,35.0,0.084
Devin Brown,FA,34,44.0,39.2,-4.831,1.105,36.0,42.0,38.0,38.0,40.0,41.0,0.000
Kwame Brown,FA,30,45.0,44.7,-0.281,1.043,42.0,47.0,43.0,44.0,45.0,46.0,0.233
Shannon Brown,FA,27,50.0,48.1,-1.935,2.641,44.0,66.0,46.0,47.0,49.0,49.0,0.039
Kobe Bryant,BOS,34,75.0,74.7,-0.331,0.588,73.0,76.0,74.0,74.0,75.0,75.0,0.058
Caron Butler (PO),MIA,32,67.0,66.8,-0.229,0.587,65.0,68.0,66.0,66.0,67.0,67.0,0.083
Rasual Butler,FA,33,37.0,33.8,-3.239,0.807,32.0,36.0,33.0,33.0,34.0,35.0,0.000
Andrew Bynum,BKN,25,48.0,48.8,0.801,2.972,44.0,65.0,47.0,47.0,49.0,50.0,0.449
Will Bynum,FA,29,38.0,39.1,1.079,3.877,35.0,58.0,37.0,37.0,39.0,40.0,0.386
José Calderón,FA,31,55.0,51.4,-3.621,1.100,48.0,54.0,50.0,51.0,52.0,53.0,0.000
Marcus Camby,FA,38,42.0,35.8,-6.224,1.071,33.0,40.0,34.0,35.0,36.0,37.0,0.000
Matt Carroll,FA,32,53.0,47.8,-5.190,1.054,45.0,51.0,46.0,47.0,49.0,49.0,0.000
Vince Carter (TO),MIA,35,64.0,61.0,-2.971,0.782,59.0,63.0,60.0,61.0,62.0,62.0,0.000
Tyson Chandler,WAS,30,55.0,56.2,1.184,0.666,55.0,58.0,55.0,56.0,57.0,57.0,0.861
Josh Childress,HOU,29,59.0,58.4,-0.584,1.131,56.0,71.0,57.0,58.0,59.0,59.0,0.042
Mardy Collins,FA,28,38.0,37.1,-0.947,4.726,34.0,58.0,35.0,35.0,36.0,37.0,0.079
Nick Collison,FA,32,46.0,43.7,-2.317,0.918,41.0,46.0,43.0,43.0,44.0,45.0,0.000
Jamal Crawford (PO),BKN,32,60.0,58.5,-1.505,0.590,57.0,60.0,58.0,58.0,59.0,59.0,0.000
Eddy Curry (PO),TOR,30,62.0,62.6,0.554,0.587,61.0,64.0,62.0,62.0,63.0,63.0,0.543
Samuel Dalembert,FA,31,53.0,51.4,-1.617,0.932,49.0,54.0,50.0,51.0,52.0,53.0,0.006
Marquis Daniels,OKC,31,55.0,53.5,-1.518,0.821,51.0,55.0,52.0,53.0,54.0,54.0,0.000
Baron Davis,CHA,33,64.0,62.9,-1.088,0.605,61.0,64.0,62.0,63.0,63.0,64.0,0.000
Ricky Davis,CHA,33,65.0,63.7,-1.331,0.579,62.0,65.0,63.0,63.0,64.0,64.0,0.000
Carlos Delfino,FA,30,53.0,51.7,-1.312,1.077,49.0,54.0,50.0,51.0,52.0,53.0,0.042
Luol Deng,DAL,27,62.0,61.4,-0.612,0.891,60.0,74.0,61.0,61.0,62.0,62.0,0.029
Yakhouba Diawara,FA,30,38.0,37.5,-0.543,0.827,35.0,40.0,36.0,37.0,38.0,39.0,0.105
Boris Diaw,FA,30,49.0,49.4,0.381,1.054,46.0,52.0,48.0,49.0,50.0,51.0,0.448
Dan Dickau,FA,34,37.0,37.0,0.000,0.000,37.0,37.0,37.0,37.0,37.0,37.0,0.000
Travis Diener,FA,30,29.0,25.7,-3.298,0.768,23.0,28.0,25.0,25.0,26.0,27.0,0.000
Juan Dixon,FA,34,37.0,38.4,1.358,0.516,37.0,40.0,38.0,38.0,39.0,39.0,0.985
Keyon Dooling,FA,32,45.0,42.8,-2.217,0.924,40.0,45.0,42.0,42.0,43.0,44.0,0.000
Quincy Douby,FA,28,42.0,40.5,-1.502,3.856,36.0,60.0,38.0,39.0,40.0,41.0,0.056
Chris Duhon,SA,30,55.0,54.5,-0.481,0.756,52.0,56.0,54.0,54.0,55.0,55.0,0.059
Tim Duncan (PO),IND,36,63.0,60.1,-2.910,0.683,58.0,62.0,59.0,60.0,61.0,61.0,0.000
Mike Dunleavy,HOU,32,62.0,59.4,-2.552,0.681,57.0,61.0,59.0,59.0,60.0,60.0,0.000
Monta Ellis,DAL,27,59.0,57.1,-1.862,0.915,55.0,70.0,56.0,57.0,58.0,58.0,0.003
Jordan Farmar,WAS,26,60.0,59.8,-0.226,0.824,58.0,70.0,59.0,59.0,60.0,61.0,0.158
Raymond Felton,FA,28,59.0,58.7,-0.280,0.947,57.0,73.0,58.0,58.0,59.0,60.0,0.121
T.J. Ford,PHI,29,65.0,61.9,-3.115,0.764,60.0,73.0,61.0,61.0,62.0,63.0,0.001
Randy Foye,FA,29,47.0,45.6,-1.382,2.981,41.0,63.0,43.0,44.0,46.0,47.0,0.057
Matt Freije,FA,31,45.0,42.7,-2.313,0.891,40.0,45.0,42.0,42.0,43.0,44.0,0.000
Dan Gadzuric,FA,34,33.0,31.7,-1.304,0.763,30.0,34.0,31.0,31.0,32.0,33.0,0.002
Jorge Garbajosa,FA,35,46.0,40.1,-5.903,1.266,37.0,44.0,38.0,39.0,41.0,42.0,0.000
Francisco García,FA,31,50.0,45.3,-4.749,1.105,42.0,48.0,44.0,45.0,46.0,47.0,0.000
Kevin Garnett,DEN,36,57.0,53.0,-3.953,1.194,49.0,56.0,51.0,52.0,54.0,54.0,0.000
Pau Gasol,DEN,32,63.0,63.1,0.114,0.607,62.0,65.0,62.0,63.0,63.0,64.0,0.246
Rudy Gay,UTA,26,67.0,67.9,0.896,0.749,66.0,70.0,67.0,67.0,68.0,69.0,0.703
Mickaël Gelabale,FA,29,57.0,55.4,-1.555,1.412,53.0,69.0,55.0,55.0,56.0,56.0,0.015
Devean George,FA,35,34.0,29.5,-4.510,1.002,27.0,32.0,28.0,29.0,30.0,31.0,0.000
Daniel 'Booby' Gibson,CLE,26,55.0,54.6,-0.361,1.580,52.0,69.0,53.0,54.0,55.0,56.0,0.110
Manu Ginóbili,NOL,35,62.0,59.2,-2.811,0.745,57.0,61.0,58.0,59.0,60.0,60.0,0.000
Ryan Gomes,FA,30,54.0,53.8,-0.186,0.873,51.0,56.0,53.0,53.0,54.0,55.0,0.214
Drew Gooden,MIA,31,57.0,54.1,-2.895,0.814,52.0,56.0,53.0,54.0,55.0,55.0,0.000
Ben Gordon,DEN,29,66.0,67.2,1.194,0.747,65.0,73.0,66.0,67.0,68.0,68.0,0.840
Danny Granger,DET,29,62.0,63.3,1.259,0.782,61.0,72.0,62.0,63.0,64.0,64.0,0.858
Gerald Green,FA,26,52.0,51.6,-0.410,2.351,48.0,67.0,50.0,51.0,52.0,53.0,0.129
Willie Green,FA,31,46.0,40.8,-5.184,0.921,38.0,43.0,40.0,40.0,41.0,42.0,0.000
Richard Hamilton,FA,34,53.0,50.9,-2.127,0.934,48.0,54.0,50.0,50.0,52.0,52.0,0.001
Devin Harris,FA,29,45.0,43.5,-1.538,3.363,39.0,62.0,41.0,42.0,44.0,45.0,0.058
Udonis Haslem,FA,32,48.0,42.1,-5.893,0.915,39.0,45.0,41.0,41.0,43.0,43.0,0.000
Brendan Haywood,FA,33,40.0,37.9,-2.079,0.911,36.0,40.0,37.0,37.0,39.0,39.0,0.000
Luther Head,CHA,30,56.0,55.1,-0.932,0.576,54.0,56.0,54.0,55.0,55.0,56.0,0.000
Walter Herrmann,FA,33,37.0,33.4,-3.566,0.776,31.0,36.0,32.0,33.0,34.0,34.0,0.000
Nenê Hilario,BOS,30,60.0,61.1,1.130,0.667,60.0,63.0,60.0,61.0,62.0,62.0,0.841
Kirk Hinrich,MIA,31,66.0,65.2,-0.765,0.632,64.0,67.0,64.0,65.0,66.0,66.0,0.008
Julius Hodge,BKN,29,54.0,52.5,-1.517,1.790,49.0,68.0,51.0,52.0,53.0,54.0,0.026
Ryan Hollins,FA,28,46.0,45.3,-0.729,2.810,42.0,63.0,43.0,44.0,46.0,46.0,0.076
Eddie House,FA,34,36.0,34.6,-1.364,0.660,33.0,36.0,34.0,34.0,35.0,35.0,0.000
Dwight Howard,SA,27,63.0,64.1,1.116,0.745,62.0,66.0,63.0,64.0,65.0,65.0,0.805
Josh Howard,MEM,32,61.0,59.8,-1.154,0.592,58.0,61.0,59.0,59.0,60.0,61.0,0.000
Larry Hughes,PHI,33,53.0,48.6,-4.361,1.081,45.0,52.0,47.0,48.0,49.0,50.0,0.000
Kris Humphries,SA,27,56.0,55.9,-0.103,1.254,53.0,70.0,55.0,55.0,56.0,57.0,0.166
Steven Hunter,NOL,31,46.0,45.7,-0.327,0.784,44.0,48.0,45.0,45.0,46.0,47.0,0.136
Andre Iguodala,UTA,28,71.0,69.0,-2.032,0.723,67.0,79.0,68.0,69.0,69.0,70.0,0.001
Zydrunas Ilgauskas,FA,37,40.0,35.5,-4.476,0.855,33.0,38.0,35.0,35.0,36.0,37.0,0.000
Ersan İlyasova,LAC,25,58.0,57.5,-0.523,1.104,55.0,70.0,57.0,57.0,58.0,58.0,0.038
Allen Iverson,MIL,37,52.0,44.7,-7.307,1.623,40.0,49.0,43.0,44.0,46.0,47.0,0.000
Royal Ivey,FA,31,37.0,37.0,0.000,0.000,37.0,37.0,37.0,37.0,37.0,37.0,0.000
Jarrett Jack,BKN,29,52.0,51.3,-0.709,2.131,48.0,64.0,50.0,50.0,52.0,52.0,0.083
Stephen Jackson,WAS,34,56.0,55.4,-0.559,0.587,54.0,57.0,55.0,55.0,56.0,56.0,0.017
LeBron James,NOL,28,77.0,78.2,1.212,0.509,77.0,84.0,78.0,78.0,78.0,79.0,0.970
Antawn Jamison,MEM,36,52.0,46.4,-5.589,1.241,42.0,50.0,45.0,46.0,47.0,48.0,0.000
Marko Jarić,FA,34,36.0,32.6,-3.430,0.798,30.0,35.0,32.0,32.0,33.0,34.0,0.000
Al Jefferson (PO),DET,27,60.0,60.3,0.340,0.953,58.0,72.0,59.0,60.0,61.0,61.0,0.400
Richard Jefferson,MEM,32,55.0,53.8,-1.225,0.794,51.0,55.0,53.0,53.0,54.0,55.0,0.000
Jared Jeffries (PO),UTA,31,65.0,65.1,0.116,0.589,64.0,67.0,64.0,65.0,65.0,66.0,0.236
Alexander Johnson,UTA,29,57.0,58.2,1.202,1.125,56.0,70.0,57.0,58.0,59.0,59.0,0.812
Amir Johnson,PHI,25,53.0,53.0,0.036,2.064,49.0,67.0,51.0,52.0,54.0,54.0,0.300
DerMarr Johnson,FA,32,43.0,37.8,-5.152,1.018,35.0,41.0,37.0,37.0,39.0,39.0,0.000
Joe Johnson,DEN,31,67.0,66.4,-0.632,0.563,65.0,68.0,66.0,66.0,67.0,67.0,0.008
Linton Johnson,FA,32,47.0,41.3,-5.739,0.944,39.0,44.0,40.0,41.0,42.0,42.0,0.000
Dahntay Jones,FA,32,36.0,31.9,-4.076,0.667,30.0,34.0,31.0,32.0,32.0,33.0,0.000
Fred Jones,FA,33,44.0,42.8,-1.166,1.061,40.0,46.0,42.0,42.0,44.0,44.0,0.048
Chris Kaman,FA,30,46.0,45.7,-0.315,1.075,42.0,48.0,44.0,45.0,46.0,47.0,0.228
Jason Kapono (TO),FA,31,52.0,47.1,-4.882,1.108,44.0,50.0,46.0,46.0,48.0,48.0,0.000
Jason Kidd,FA,39,41.0,35.3,-5.662,1.022,32.0,39.0,34.0,35.0,36.0,37.0,0.000
Linas Kleiza,FA,27,44.0,42.4,-1.586,3.159,38.0,62.0,40.0,41.0,43.0,44.0,0.048
Yaroslav Korolev,FA,25,43.0,43.6,0.556,3.717,39.0,62.0,41.0,42.0,44.0,45.0,0.296
Kyle Korver,FA,31,52.0,49.9,-2.068,0.906,47.0,52.0,49.0,49.0,51.0,51.0,0.000
David Lee,MIL,29,52.0,53.3,1.338,1.731,50.0,65.0,52.0,52.0,54.0,54.0,0.727
Rashard Lewis,HOU,33,68.0,67.4,-0.601,0.574,66.0,69.0,67.0,67.0,68.0,68.0,0.017
Shaun Livingston,FA,27,43.0,42.9,-0.055,3.718,39.0,61.0,41.0,41.0,43.0,44.0,0.136
Kyle Lowry,FA,26,47.0,46.5,-0.534,2.841,43.0,64.0,45.0,45.0,47.0,47.0,0.098
Tyronn Lue,FA,35,35.0,35.0,0.000,0.000,35.0,35.0,35.0,35.0,35.0,35.0,0.000
Corey Maggette (PO),MIL,33,61.0,61.1,0.063,0.599,59.0,63.0,60.0,61.0,61.0,62.0,0.210
Stephon Marbury,FA,35,47.0,40.7,-6.298,1.398,36.0,45.0,39.0,40.0,42.0,42.0,0.000
Shawn Marion,DEN,34,66.0,66.1,0.056,0.559,65.0,67.0,65.0,66.0,66.0,67.0,0.186
Damir Markota,FA,27,46.0,45.3,-0.723,3.115,42.0,63.0,43.0,44.0,45.0,46.0,0.079
Kevin Martin,WAS,29,71.0,70.6,-0.387,0.781,69.0,80.0,70.0,70.0,71.0,71.0,0.081
Desmond Mason,FA,35,34.0,30.3,-3.709,0.897,28.0,33.0,29.0,30.0,31.0,31.0,0.000
Sean May,FA,28,36.0,36.4,0.363,4.630,32.0,58.0,34.0,35.0,36.0,37.0,0.117
Rashad McCants,FA,28,50.0,48.7,-1.306,2.779,44.0,65.0,47.0,47.0,49.0,50.0,0.063
Tracy McGrady,BKN,33,72.0,71.6,-0.423,0.588,70.0,73.0,71.0,71.0,72.0,72.0,0.035
Keith McLeod,FA,33,36.0,32.3,-3.729,0.648,31.0,34.0,32.0,32.0,33.0,33.0,0.000
Pops Mensah-Bonsu,NOL,29,63.0,59.9,-3.085,0.663,58.0,62.0,59.0,59.0,60.0,61.0,0.000
C.J. Miles (TO),OKC,25,59.0,58.2,-0.758,1.253,56.0,72.0,57.0,58.0,59.0,59.0,0.020
Darius Miles,DAL,31,57.0,55.6,-1.366,0.590,54.0,57.0,55.0,55.0,56.0,56.0,0.000
Darko Miličić,FA,27,43.0,46.2,3.192,2.943,42.0,62.0,44.0,45.0,46.0,47.0,0.980
Andre Miller,FA,36,40.0,34.4,-5.598,1.010,31.0,37.0,33.0,34.0,35.0,36.0,0.000
Mike Miller,CHA,32,59.0,57.7,-1.251,0.576,56.0,59.0,57.0,57.0,58.0,58.0,0.000
Paul Millsap,DET,27,60.0,60.7,0.718,0.906,58.0,68.0,60.0,60.0,61.0,62.0,0.604
Yao Ming (PO),IND,32,63.0,63.3,0.349,0.505,62.0,65.0,63.0,63.0,64.0,64.0,0.361
Adam Morrison,FA,28,45.0,42.6,-2.415,3.351,39.0,62.0,41.0,41.0,43.0,43.0,0.043
Troy Murphy,FA,32,56.0,52.8,-3.188,1.057,50.0,56.0,51.0,52.0,54.0,54.0,0.000
Ronald Murray,FA,33,40.0,40.0,0.000,0.000,40.0,40.0,40.0,40.0,40.0,40.0,0.000
Steve Nash,WAS,38,58.0,55.0,-3.007,0.680,53.0,57.0,54.0,55.0,55.0,56.0,0.000
Jameer Nelson,FA,30,51.0,50.4,-0.623,0.947,47.0,53.0,49.0,50.0,51.0,52.0,0.124
David Noel,FA,28,43.0,40.7,-2.314,3.601,37.0,61.0,39.0,39.0,41.0,42.0,0.044
Steve Novak,BOS,29,51.0,48.9,-2.125,2.192,45.0,65.0,47.0,48.0,49.0,50.0,0.025
Dirk Nowitzki (PO),BKN,34,70.0,70.0,-0.006,0.583,69.0,71.0,69.0,70.0,70.0,71.0,0.167
Lamar Odom,LAC,33,56.0,55.2,-0.827,0.640,53.0,57.0,54.0,55.0,56.0,56.0,0.011
Emeka Okafor,MIN,30,64.0,64.3,0.259,0.662,63.0,66.0,63.0,64.0,65.0,65.0,0.348
Mehmet Okur (PO),HOU,33,63.0,62.6,-0.420,0.517,61.0,64.0,62.0,62.0,63.0,63.0,0.011
Jermaine O'Neal,SA,34,58.0,57.4,-0.601,0.576,56.0,59.0,57.0,57.0,58.0,58.0,0.009
Travis Outlaw,FA,28,57.0,57.7,0.706,1.183,56.0,69.0,57.0,57.0,58.0,59.0,0.558
Jannero Pargo,FA,33,47.0,45.4,-1.639,0.934,43.0,48.0,44.0,45.0,46.0,46.0,0.004
Smush Parker,FA,31,54.0,50.0,-4.000,1.095,47.0,53.0,49.0,49.0,51.0,51.0,0.000
Tony Parker,HOU,30,67.0,65.6,-1.357,0.564,64.0,67.0,65.0,65.0,66.0,66.0,0.000
Ruben Patterson,FA,37,44.0,37.9,-6.094,1.321,35.0,42.0,36.0,37.0,39.0,40.0,0.000
Chris Paul,UTA,27,62.0,61.2,-0.778,0.750,59.0,71.0,60.0,61.0,62.0,62.0,0.021
Sasha Pavlović,SA,29,54.0,53.5,-0.517,1.616,51.0,65.0,52.0,53.0,54.0,54.0,0.095
Kendrick Perkins,FA,28,41.0,38.4,-2.572,4.735,34.0,60.0,36.0,36.0,38.0,39.0,0.070
Johan Petro,FA,26,47.0,49.4,2.418,2.482,45.0,64.0,47.0,48.0,50.0,51.0,0.876
Paul Pierce,SA,35,66.0,63.1,-2.940,0.665,61.0,65.0,62.0,63.0,63.0,64.0,0.000
Mickaël Piétrus,FA,30,57.0,55.4,-1.625,0.648,54.0,57.0,55.0,55.0,56.0,56.0,0.000
James Posey,FA,35,45.0,38.1,-6.908,1.391,35.0,43.0,36.0,37.0,39.0,40.0,0.000
Leon Powe,FA,28,52.0,52.4,0.374,2.044,49.0,66.0,51.0,51.0,53.0,54.0,0.401
Josh Powell,FA,29,39.0,40.7,1.745,3.721,37.0,59.0,39.0,39.0,41.0,42.0,0.653
Ronnie Price,DEN,29,63.0,63.9,0.928,0.807,62.0,75.0,63.0,63.0,64.0,65.0,0.734
Tayshaun Prince (PO),TOR,32,63.0,62.3,-0.653,0.580,61.0,64.0,62.0,62.0,63.0,63.0,0.010
Chris Quinn,FA,29,46.0,46.0,0.000,0.000,46.0,46.0,46.0,46.0,46.0,46.0,0.000
Vladimir Radmanović,FA,32,49.0,43.5,-5.515,0.888,41.0,46.0,42.0,43.0,44.0,45.0,0.000
Zach Randolph,MEM,31,64.0,63.4,-0.587,0.578,62.0,65.0,63.0,63.0,64.0,64.0,0.009
Allan Ray,FA,28,45.0,43.8,-1.236,3.266,40.0,62.0,42.0,42.0,44.0,45.0,0.068
Michael Redd (PO),IND,33,68.0,67.2,-0.756,0.592,66.0,69.0,67.0,67.0,68.0,68.0,0.005
Jason Richardson (PO),CHA,31,61.0,58.5,-2.549,0.679,57.0,60.0,58.0,58.0,59.0,59.0,0.000
Quentin Richardson,FA,32,51.0,51.4,0.403,0.789,49.0,54.0,50.0,51.0,52.0,52.0,0.456
Luke Ridnour,FA,31,54.0,50.0,-3.968,1.134,46.0,53.0,49.0,49.0,51.0,51.0,0.000
Lawrence Roberts,PHI,30,53.0,52.2,-0.773,0.936,50.0,54.0,51.0,52.0,53.0,53.0,0.073
Bernard Robinson,FA,32,27.0,27.0,0.000,0.000,27.0,27.0,27.0,27.0,27.0,27.0,0.000
Nate Robinson,OKC,28,58.0,59.3,1.304,1.043,57.0,71.0,58.0,59.0,60.0,60.0,0.858
Sergio Rodríguez,FA,26,43.0,49.1,6.148,2.180,47.0,62.0,48.0,48.0,49.0,50.0,1.000
Rajon Rondo,MEM,26,62.0,61.8,-0.247,0.837,60.0,74.0,61.0,61.0,62.0,63.0,0.146
Quinton Ross,FA,31,44.0,39.7,-4.338,1.129,37.0,43.0,38.0,39.0,40.0,41.0,0.000
Brandon Roy,HOU,28,73.0,73.6,0.639,0.733,72.0,76.0,73.0,73.0,74.0,75.0,0.576
Kareem Rush,FA,32,46.0,38.2,-7.805,0.889,36.0,41.0,37.0,38.0,39.0,39.0,0.000
Jamal Sampson,FA,29,42.0,40.5,-1.509,4.238,36.0,61.0,38.0,39.0,40.0,41.0,0.063
Brian Scalabrine,FA,34,37.0,33.5,-3.457,0.775,32.0,36.0,33.0,33.0,34.0,34.0,0.000
Thabo Sefolosha,FA,28,51.0,50.5,-0.512,1.941,48.0,65.0,49.0,50.0,51.0,52.0,0.127
Mouhamed Sene,FA,26,48.0,48.9,0.855,2.884,44.0,65.0,47.0,48.0,49.0,50.0,0.467
Cedric Simmons,FA,26,39.0,39.1,0.057,4.472,35.0,59.0,37.0,37.0,39.0,40.0,0.113
Craig Smith,FA,29,49.0,46.6,-2.387,2.732,43.0,64.0,45.0,45.0,47.0,48.0,0.036
Josh Smith,TOR,27,67.0,68.3,1.337,0.776,66.0,75.0,67.0,68.0,69.0,69.0,0.892
J.R. Smith,PHO,27,61.0,61.2,0.151,0.633,59.0,63.0,60.0,61.0,62.0,62.0,0.269
Darius Songaila,FA,34,27.0,23.9,-3.115,0.786,22.0,26.0,23.0,23.0,24.0,25.0,0.000
DeShawn Stevenson,FA,31,52.0,49.7,-2.268,0.947,47.0,52.0,49.0,49.0,50.0,51.0,0.000
Amar'e Stoudemire,BOS,30,67.0,67.4,0.368,0.661,66.0,69.0,67.0,67.0,68.0,68.0,0.426
Salim Stoudamire,MIA,30,57.0,56.4,-0.618,0.643,55.0,58.0,56.0,56.0,57.0,57.0,0.023
Robert Swift,FA,27,43.0,40.6,-2.423,3.972,37.0,61.0,38.0,39.0,41.0,41.0,0.049
Wally Szczerbiak,FA,35,41.0,35.7,-5.257,0.904,33.0,39.0,35.0,35.0,36.0,37.0,0.000
Donell Taylor,FA,30,34.0,33.5,-0.541,0.727,32.0,36.0,33.0,33.0,34.0,34.0,0.061
Sebastian Telfair,FA,27,48.0,47.3,-0.673,2.687,44.0,64.0,45.0,46.0,48.0,48.0,0.098
Jason Terry,FA,35,52.0,46.0,-5.954,1.292,42.0,50.0,44.0,45.0,47.0,48.0,0.000
Etan Thomas,FA,34,27.0,23.4,-3.596,0.800,21.0,26.0,22.0,23.0,24.0,24.0,0.000
Tim Thomas,FA,35,43.0,37.8,-5.205,1.221,35.0,41.0,36.0,37.0,39.0,39.0,0.000
Tyrus Thomas,DEN,26,58.0,58.1,0.069,0.907,56.0,71.0,57.0,58.0,58.0,59.0,0.222
Jamaal Tinsley,FA,34,53.0,48.4,-4.612,1.082,45.0,52.0,47.0,48.0,49.0,50.0,0.000
Ronny Turiaf,DAL,29,53.0,50.5,-2.526,1.901,47.0,65.0,49.0,50.0,51.0,52.0,0.021
Hedo Türkoğlu,DEN,33,61.0,60.3,-0.658,0.559,59.0,62.0,60.0,60.0,61.0,61.0,0.004
Ime Udoka,FA,35,40.0,40.0,0.000,0.000,40.0,40.0,40.0,40.0,40.0,40.0,0.000
Beno Udrih,FA,30,43.0,38.8,-4.244,1.090,36.0,42.0,37.0,38.0,39.0,40.0,0.000
Anderson Varejão,FA,30,58.0,58.6,0.589,0.650,57.0,60.0,58.0,58.0,59.0,59.0,0.555
Charlie Villanueva,NOL,28,57.0,56.9,-0.056,1.374,55.0,70.0,56.0,56.0,57.0,58.0,0.134
Sasha Vujačić,FA,28,54.0,53.3,-0.694,1.751,50.0,67.0,52.0,53.0,54.0,54.0,0.063
Dwyane Wade,DAL,30,72.0,72.2,0.217,0.665,71.0,74.0,71.0,72.0,73.0,73.0,0.325
Von Wafer,SA,27,55.0,50.9,-4.113,2.080,48.0,68.0,49.0,50.0,51.0,52.0,0.018
Ben Wallace,BKN,38,49.0,42.1,-6.854,1.400,38.0,46.0,40.0,41.0,43.0,44.0,0.000
Gerald Wallace,DAL,30,68.0,68.8,0.812,0.649,67.0,70.0,68.0,68.0,69.0,70.0,0.692
