Name,Team,Age,Baseline,MeanOvr,MeanDelta,StdDelta,MinOvr,MaxOvr,Q10,Q25,Q75,Q90,PctPositive
Alex Acker,FA,29,36.0,34.0,-2.001,2.114,31.0,52.0,33.0,33.0,34.0,35.0,0.018
LaMarcus Aldridge,NOL,27,65.0,65.6,0.572,0.778,63.0,68.0,65.0,65.0,66.0,66.0,0.553
Ray Allen,CHA,37,59.0,55.2,-3.823,0.867,52.0,57.0,54.0,55.0,56.0,56.0,0.000
Tony Allen,FA,30,41.0,38.9,-2.131,0.910,37.0,41.0,38.0,38.0,39.0,40.0,0.000
Rafer Alston,FA,36,41.0,35.4,-5.562,1.015,33.0,39.0,34.0,35.0,36.0,37.0,0.000
Carmelo Anthony,OKC,28,60.0,60.8,0.799,0.753,59.0,63.0,60.0,60.0,61.0,62.0,0.658
Gilbert Arenas,MIA,30,75.0,75.7,0.695,0.590,74.0,77.0,75.0,75.0,76.0,76.0,0.655
Trevor Ariza,CLE,27,68.0,68.6,0.649,0.751,66.0,71.0,68.0,68.0,69.0,70.0,0.582
Hilton Armstrong,FA,28,45.0,43.5,-1.493,2.376,40.0,59.0,42.0,42.0,44.0,45.0,0.040
Metta World Peace,BKN,33,69.0,66.0,-3.002,0.693,64.0,68.0,65.0,66.0,66.0,67.0,0.000
Chucky Atkins,FA,38,34.0,29.9,-4.116,0.915,28.0,33.0,29.0,29.0,30.0,31.0,0.000
James Augustine,FA,28,44.0,45.6,1.599,1.943,42.0,59.0,44.0,45.0,46.0,47.0,0.785
Kelenna Azubuike,SAC,29,52.0,47.3,-4.669,2.218,44.0,62.0,46.0,46.0,48.0,49.0,0.022
Renaldo Balkman,FA,28,50.0,47.7,-2.319,1.898,44.0,63.0,46.0,47.0,48.0,49.0,0.018
Leandro Barbosa,TOR,30,68.0,68.2,0.223,0.658,67.0,70.0,67.0,68.0,69.0,69.0,0.327
J.J. Barea,FA,28,37.0,38.8,1.823,1.998,35.0,54.0,37.0,38.0,39.0,40.0,0.822
Andrea Bargnani (PO),CHA,27,58.0,56.9,-1.062,1.555,55.0,69.0,56.0,56.0,57.0,58.0,0.023
Earl Barron,FA,31,42.0,36.3,-5.740,0.681,35.0,39.0,35.0,36.0,37.0,37.0,0.000
Brandon Bass,FA,27,43.0,40.5,-2.478,2.418,38.0,58.0,39.0,40.0,41.0,42.0,0.020
Esteban Batista (TO),DEN,29,60.0,59.7,-0.278,0.658,58.0,62.0,59.0,59.0,60.0,60.0,0.089
Shane Battier,WAS,34,53.0,47.9,-5.110,1.085,45.0,51.0,46.0,47.0,49.0,49.0,0.000
Charlie Bell,FA,33,57.0,54.0,-3.002,0.853,51.0,56.0,53.0,54.0,55.0,55.0,0.000
Raja Bell,FA,36,38.0,33.5,-4.486,0.970,30.0,36.0,32.0,33.0,34.0,35.0,0.000
