Name,Team,Age,Baseline,MeanOvr,MeanDelta,StdDelta,MinOvr,MaxOvr,Q10,Q25,Q75,Q90,PctPositive
Mike Bibby,BKN,34,61.0,58.2,-2.827,0.692,56.0,60.0,57.0,58.0,59.0,59.0,0.000
Andris Biedriņš,BOS,26,55.0,54.8,-0.225,1.264,52.0,65.0,54.0,54.0,55.0,56.0,0.153
Chauncey Billups,IND,36,57.0,52.4,-4.559,1.404,48.0,56.0,51.0,51.0,53.0,54.0,0.000
Steve Blake,FA,32,47.0,41.5,-5.482,0.893,39.0,44.0,40.0,41.0,42.0,43.0,0.000
Will Blalock,FA,29,33.0,30.3,-2.681,2.210,28.0,48.0,29.0,30.0,31.0,31.0,0.019
Andray Blatche,BOS,26,56.0,54.4,-1.593,1.556,52.0,67.0,53.0,54.0,55.0,55.0,0.018
Andrew Bogut,BKN,28,51.0,46.6,-4.424,2.379,43.0,63.0,45.0,46.0,47.0,48.0,0.023
Matt Bonner,FA,32,37.0,35.6,-1.430,0.670,34.0,38.0,35.0,35.0,36.0,36.0,0.001
Josh Boone,FA,28,36.0,33.6,-2.377,2.087,31.0,54.0,32.0,33.0,34.0,35.0,0.015
Carlos Boozer,HOU,31,63.0,61.5,-1.543,0.590,60.0,63.0,61.0,61.0,62.0,62.0,0.000
Chris Bosh,CHA,28,68.0,68.4,0.379,0.730,67.0,70.0,67.0,68.0,69.0,69.0,0.440
Earl Boykins,FA,36,42.0,36.1,-5.886,1.079,33.0,39.0,35.0,35.0,37.0,38.0,0.000
Elton Brand,CHA,33,65.0,62.5,-2.528,0.660,61.0,64.0,62.0,62.0,63.0,63.0,0.000
Ronnie Brewer,MIL,27,63.0,62.8,-0.215,0.680,61.0,65.0,62.0,62.0,63.0,64.0,0.121
Primož Brezec,FA,33,35.0,33.8,-1.176,0.692,32.0,35.0,33.0,33.0,34.0,35.0,0.000
Devin Brown,FA,34,44.0,38.2,-5.765,0.885,36.0,41.0,37.0,38.0,39.0,39.0,0.000
Kwame Brown,FA,30,45.0,44.1,-0.938,0.932,42.0,46.0,43.0,43.0,45.0,45.0,0.055
Shannon Brown,FA,27,50.0,47.0,-2.968,1.879,43.0,62.0,46.0,46.0,48.0,48.0,0.016
Kobe Bryant,BOS,34,75.0,74.3,-0.704,0.667,72.0,76.0,74.0,74.0,75.0,75.0,0.027
Caron Butler (PO),MIA,32,67.0,66.1,-0.923,0.574,65.0,67.0,65.0,66.0,66.0,67.0,0.000
Rasual Butler,FA,33,37.0,33.1,-3.883,0.626,31.0,35.0,32.0,33.0,33.0,34.0,0.000
Andrew Bynum,BKN,25,48.0,48.0,0.000,0.000,48.0,48.0,48.0,48.0,48.0,48.0,0.000
Will Bynum,FA,29,38.0,36.9,-1.096,2.229,34.0,55.0,36.0,36.0,37.0,38.0,0.057
José Calderón,FA,31,55.0,50.5,-4.547,0.921,47.0,53.0,49.0,50.0,51.0,52.0,0.000
Marcus Camby,FA,38,42.0,35.8,-6.236,1.073,33.0,40.0,34.0,35.0,36.0,37.0,0.000
Matt Carroll,FA,32,53.0,47.8,-5.235,1.094,45.0,51.0,46.0,47.0,48.0,49.0,0.000
Vince Carter (TO),MIA,35,64.0,60.5,-3.451,0.885,58.0,63.0,59.0,60.0,61.0,62.0,0.000
Tyson Chandler,WAS,30,55.0,55.5,0.487,0.639,54.0,57.0,55.0,55.0,56.0,56.0,0.496
Josh Childress,HOU,29,59.0,57.5,-1.522,1.126,55.0,67.0,57.0,57.0,58.0,58.0,0.012
Mardy Collins,FA,28,38.0,35.4,-2.623,2.387,33.0,55.0,34.0,34.0,36.0,36.0,0.017
Nick Collison,FA,32,46.0,40.8,-5.192,1.114,37.0,44.0,39.0,40.0,42.0,42.0,0.000
Jamal Crawford (PO),BKN,32,60.0,56.8,-3.152,0.679,55.0,59.0,56.0,56.0,57.0,58.0,0.000
Eddy Curry (PO),TOR,30,62.0,61.9,-0.143,0.587,61.0,63.0,61.0,61.0,62.0,63.0,0.111
Samuel Dalembert,FA,31,53.0,51.4,-1.603,0.925,49.0,54.0,50.0,51.0,52.0,53.0,0.002
Marquis Daniels,OKC,31,55.0,50.7,-4.305,1.086,48.0,54.0,49.0,50.0,51.0,52.0,0.000
Baron Davis,CHA,33,64.0,61.3,-2.716,0.667,59.0,63.0,60.0,61.0,62.0,62.0,0.000
Ricky Davis,CHA,33,65.0,62.0,-2.983,0.658,60.0,64.0,61.0,62.0,62.0,63.0,0.000
Carlos Delfino,FA,30,53.0,51.1,-1.859,0.902,49.0,54.0,50.0,51.0,52.0,52.0,0.002
Luol Deng,DAL,27,62.0,60.9,-1.130,0.749,59.0,63.0,60.0,60.0,61.0,62.0,0.003
Yakhouba Diawara,FA,30,38.0,36.9,-1.066,0.901,35.0,40.0,36.0,36.0,37.0,38.0,0.047
Boris Diaw,FA,30,49.0,48.7,-0.325,0.936,47.0,51.0,47.0,48.0,49.0,50.0,0.199
Dan Dickau,FA,34,37.0,30.6,-6.379,0.667,29.0,32.0,30.0,30.0,31.0,31.0,0.000
Travis Diener,FA,30,29.0,25.7,-3.316,0.798,23.0,28.0,25.0,25.0,26.0,27.0,0.000
Juan Dixon,FA,34,37.0,37.2,0.227,0.676,36.0,39.0,36.0,37.0,38.0,38.0,0.314
Keyon Dooling,FA,32,45.0,40.0,-4.996,1.132,37.0,43.0,39.0,39.0,41.0,41.0,0.000
Quincy Douby,FA,28,42.0,38.9,-3.053,2.310,36.0,57.0,37.0,38.0,40.0,40.0,0.015
Chris Duhon,SA,30,55.0,53.5,-1.459,0.934,51.0,55.0,52.0,53.0,54.0,55.0,0.000
Tim Duncan (PO),IND,36,63.0,59.6,-3.440,0.771,57.0,62.0,59.0,59.0,60.0,60.0,0.000
Mike Dunleavy,HOU,32,62.0,58.9,-3.106,0.566,57.0,60.0,58.0,59.0,59.0,60.0,0.000
Monta Ellis,DAL,27,59.0,57.3,-1.673,1.613,55.0,69.0,56.0,57.0,58.0,58.0,0.023
Jordan Farmar,WAS,26,60.0,58.8,-1.250,0.751,57.0,61.0,58.0,58.0,59.0,60.0,0.006
Raymond Felton,FA,28,59.0,57.9,-1.074,1.460,56.0,70.0,57.0,57.0,58.0,59.0,0.022
T.J. Ford,PHI,29,65.0,61.8,-3.151,0.689,60.0,64.0,61.0,61.0,62.0,63.0,0.000
Randy Foye,FA,29,47.0,44.5,-2.513,2.216,41.0,61.0,43.0,43.0,45.0,46.0,0.020
Matt Freije,FA,31,45.0,39.9,-5.115,1.090,37.0,43.0,38.0,39.0,41.0,41.0,0.000
Dan Gadzuric,FA,34,33.0,31.3,-1.658,0.658,29.0,33.0,31.0,31.0,32.0,32.0,0.000
Jorge Garbajosa,FA,35,46.0,39.2,-6.841,1.386,36.0,43.0,37.0,38.0,40.0,41.0,0.000
Francisco García,FA,31,50.0,45.3,-4.746,1.107,41.0,49.0,44.0,45.0,46.0,47.0,0.000
Kevin Garnett,DEN,36,57.0,52.2,-4.796,1.395,48.0,55.0,50.0,51.0,53.0,54.0,0.000
Pau Gasol,DEN,32,63.0,62.8,-0.221,0.647,61.0,64.0,62.0,62.0,63.0,64.0,0.110
Rudy Gay,UTA,26,67.0,67.0,-0.005,0.753,65.0,69.0,66.0,67.0,67.0,68.0,0.241
Mickaël Gelabale,FA,29,57.0,54.9,-2.118,1.696,52.0,68.0,54.0,54.0,55.0,56.0,0.022
Devean George,FA,35,34.0,29.6,-4.441,1.037,27.0,32.0,28.0,29.0,30.0,31.0,0.000
Daniel 'Booby' Gibson,CLE,26,55.0,54.1,-0.861,1.636,51.0,65.0,53.0,53.0,55.0,55.0,0.025
Manu Ginóbili,NOL,35,62.0,59.2,-2.796,0.777,57.0,61.0,58.0,59.0,60.0,60.0,0.000
Ryan Gomes,FA,30,54.0,52.7,-1.329,1.057,50.0,55.0,51.0,52.0,53.0,54.0,0.020
Drew Gooden,MIA,31,57.0,53.4,-3.565,0.795,51.0,55.0,52.0,53.0,54.0,54.0,0.000
Ben Gordon,DEN,29,66.0,66.3,0.280,0.708,64.0,68.0,65.0,66.0,67.0,67.0,0.374
Danny Granger,DET,29,62.0,63.3,1.305,0.762,61.0,65.0,62.0,63.0,64.0,64.0,0.864
Gerald Green,FA,26,52.0,49.5,-2.482,1.826,46.0,64.0,48.0,49.0,50.0,51.0,0.017
Willie Green,FA,31,46.0,39.9,-6.123,1.107,36.0,43.0,39.0,39.0,41.0,41.0,0.000
Richard Hamilton,FA,34,53.0,48.0,-4.969,1.091,45.0,51.0,47.0,47.0,49.0,49.0,0.000
Devin Harris,FA,29,45.0,42.1,-2.864,2.138,38.0,58.0,41.0,41.0,43.0,43.0,0.017
Udonis Haslem,FA,32,48.0,41.2,-6.789,1.089,38.0,45.0,40.0,40.0,42.0,43.0,0.000
Brendan Haywood,FA,33,40.0,35.6,-4.356,0.816,34.0,38.0,35.0,35.0,36.0,37.0,0.000
Luther Head,CHA,30,56.0,55.1,-0.921,0.579,53.0,56.0,54.0,55.0,55.0,56.0,0.000
Walter Herrmann,FA,33,37.0,33.5,-3.539,0.754,31.0,36.0,33.0,33.0,34.0,34.0,0.000
Nenê Hilario,BOS,30,60.0,60.8,0.797,0.579,59.0,62.0,60.0,60.0,61.0,61.0,0.712
Kirk Hinrich,MIA,31,66.0,64.9,-1.112,0.572,63.0,66.0,64.0,65.0,65.0,66.0,0.000
Julius Hodge,BKN,29,54.0,51.8,-2.228,1.826,49.0,64.0,50.0,51.0,52.0,53.0,0.021
Ryan Hollins,FA,28,46.0,43.2,-2.762,2.078,40.0,60.0,42.0,42.0,44.0,44.0,0.016
Eddie House,FA,34,36.0,32.7,-3.252,0.785,31.0,35.0,32.0,32.0,33.0,34.0,0.000
Dwight Howard,SA,27,63.0,63.1,0.146,0.738,61.0,65.0,62.0,63.0,64.0,64.0,0.315
Josh Howard,MEM,32,61.0,59.8,-1.192,0.582,58.0,61.0,59.0,59.0,60.0,60.0,0.000
Larry Hughes,PHI,33,53.0,47.7,-5.266,0.926,45.0,51.0,47.0,47.0,48.0,49.0,0.000
Kris Humphries,SA,27,56.0,55.0,-1.044,1.511,51.0,67.0,54.0,54.0,55.0,56.0,0.025
Steven Hunter,NOL,31,46.0,44.4,-1.594,1.039,42.0,47.0,43.0,44.0,45.0,46.0,0.020
Andre Iguodala,UTA,28,71.0,69.0,-1.992,0.646,67.0,71.0,68.0,69.0,69.0,70.0,0.000
Zydrunas Ilgauskas,FA,37,40.0,35.5,-4.521,0.887,33.0,39.0,34.0,35.0,36.0,37.0,0.000
Ersan İlyasova,LAC,25,58.0,58.0,0.000,0.000,58.0,58.0,58.0,58.0,58.0,58.0,0.000
Allen Iverson,MIL,37,52.0,44.6,-7.374,1.657,40.0,50.0,43.0,43.0,46.0,47.0,0.000
Royal Ivey,FA,31,37.0,29.4,-7.554,0.565,28.0,31.0,29.0,29.0,30.0,30.0,0.000
Jarrett Jack,BKN,29,52.0,50.2,-1.802,1.925,46.0,63.0,48.0,49.0,51.0,52.0,0.028
Stephen Jackson,WAS,34,56.0,53.5,-2.510,0.934,50.0,56.0,52.0,53.0,54.0,55.0,0.000
LeBron James,NOL,28,77.0,77.8,0.826,0.553,76.0,79.0,77.0,77.0,78.0,78.0,0.747
Antawn Jamison,MEM,36,52.0,45.4,-6.569,1.463,41.0,49.0,44.0,44.0,46.0,47.0,0.000
Marko Jarić,FA,34,36.0,31.9,-4.050,0.673,30.0,34.0,31.0,32.0,32.0,33.0,0.000
Al Jefferson (PO),DET,27,60.0,59.3,-0.676,0.760,57.0,61.0,58.0,59.0,60.0,60.0,0.048
Richard Jefferson,MEM,32,55.0,51.1,-3.851,1.119,48.0,54.0,50.0,50.0,52.0,53.0,0.000
Jared Jeffries (PO),UTA,31,65.0,64.4,-0.619,0.567,63.0,66.0,64.0,64.0,65.0,65.0,0.012
Alexander Johnson,UTA,29,57.0,57.4,0.405,1.343,55.0,67.0,56.0,57.0,58.0,58.0,0.363
Amir Johnson,PHI,25,53.0,53.0,0.000,0.000,53.0,53.0,53.0,53.0,53.0,53.0,0.000
DerMarr Johnson,FA,32,43.0,37.0,-5.951,0.800,35.0,40.0,36.0,37.0,38.0,38.0,0.000
Joe Johnson,DEN,31,67.0,65.6,-1.375,0.590,64.0,67.0,65.0,65.0,66.0,66.0,0.000
Linton Johnson,FA,32,47.0,40.3,-6.701,1.099,37.0,43.0,39.0,40.0,41.0,42.0,0.000
Dahntay Jones,FA,32,36.0,31.3,-4.665,0.776,29.0,33.0,30.0,31.0,32.0,32.0,0.000
Fred Jones,FA,33,44.0,42.3,-1.737,0.924,39.0,45.0,41.0,42.0,43.0,43.0,0.002
Chris Kaman,FA,30,46.0,45.2,-0.827,0.923,43.0,48.0,44.0,45.0,46.0,46.0,0.070
Jason Kapono (TO),FA,31,52.0,46.2,-5.833,0.934,44.0,49.0,45.0,46.0,47.0,47.0,0.000
Jason Kidd,FA,39,41.0,35.3,-5.683,1.065,32.0,39.0,34.0,35.0,36.0,37.0,0.000
Linas Kleiza,FA,27,44.0,41.5,-2.540,2.589,37.0,59.0,40.0,40.0,42.0,43.0,0.024
Yaroslav Korolev,FA,25,43.0,43.0,0.000,0.000,43.0,43.0,43.0,43.0,43.0,43.0,0.000
Kyle Korver,FA,31,52.0,49.9,-2.067,0.909,47.0,52.0,49.0,49.0,51.0,51.0,0.000
David Lee,MIL,29,52.0,51.8,-0.222,1.749,49.0,62.0,50.0,51.0,53.0,53.0,0.261
Rashard Lewis,HOU,33,68.0,66.7,-1.281,0.583,65.0,68.0,66.0,66.0,67.0,67.0,0.000
Shaun Livingston,FA,27,43.0,41.5,-1.540,2.517,38.0,58.0,40.0,40.0,42.0,43.0,0.051
Kyle Lowry,FA,26,47.0,44.4,-2.612,1.941,41.0,60.0,43.0,43.0,45.0,46.0,0.014
Tyronn Lue,FA,35,35.0,29.3,-5.717,1.207,26.0,33.0,28.0,28.0,30.0,31.0,0.000
Corey Maggette (PO),MIL,33,61.0,60.4,-0.635,0.581,59.0,62.0,60.0,60.0,61.0,61.0,0.010
Stephon Marbury,FA,35,47.0,39.7,-7.298,1.590,36.0,44.0,38.0,39.0,41.0,42.0,0.000
Shawn Marion,DEN,34,66.0,65.7,-0.300,0.648,64.0,67.0,65.0,65.0,66.0,66.0,0.090
Damir Markota,FA,27,46.0,44.0,-2.003,2.227,40.0,59.0,42.0,43.0,45.0,45.0,0.031
Kevin Martin,WAS,29,71.0,70.2,-0.834,0.645,69.0,72.0,69.0,70.0,71.0,71.0,0.011
Desmond Mason,FA,35,34.0,29.7,-4.341,1.004,27.0,32.0,28.0,29.0,30.0,31.0,0.000
Sean May,FA,28,36.0,34.8,-1.184,2.610,32.0,55.0,33.0,34.0,35.0,35.0,0.025
Rashad McCants,FA,28,50.0,47.6,-2.399,2.130,44.0,62.0,46.0,47.0,48.0,49.0,0.023
Tracy McGrady,BKN,33,72.0,71.2,-0.786,0.668,69.0,73.0,70.0,71.0,72.0,72.0,0.015
Keith McLeod,FA,33,36.0,31.7,-4.334,0.785,29.0,34.0,31.0,31.0,32.0,33.0,0.000
Pops Mensah-Bonsu,NOL,29,63.0,59.9,-3.056,0.686,58.0,62.0,59.0,60.0,60.0,61.0,0.000
C.J. Miles (TO),OKC,25,59.0,59.0,0.000,0.000,59.0,59.0,59.0,59.0,59.0,59.0,0.000
Darius Miles,DAL,31,57.0,53.8,-3.237,0.914,50.0,56.0,53.0,53.0,54.0,55.0,0.000
Darko Miličić,FA,27,43.0,45.0,2.020,2.159,41.0,58.0,43.0,44.0,46.0,46.0,0.840
Andre Miller,FA,36,40.0,34.4,-5.644,1.022,32.0,37.0,33.0,34.0,35.0,36.0,0.000
Mike Miller,CHA,32,59.0,56.1,-2.852,0.677,54.0,58.0,55.0,56.0,57.0,57.0,0.000
Paul Millsap,DET,27,60.0,60.2,0.221,0.663,58.0,62.0,59.0,60.0,61.0,61.0,0.326
Yao Ming (PO),IND,32,63.0,63.0,0.002,0.593,62.0,64.0,62.0,63.0,63.0,64.0,0.177
Adam Morrison,FA,28,45.0,42.2,-2.805,2.302,39.0,59.0,41.0,41.0,43.0,43.0,0.019
Troy Murphy,FA,32,56.0,51.9,-4.054,0.893,49.0,54.0,51.0,51.0,53.0,53.0,0.000
Ronald Murray,FA,33,40.0,31.8,-8.158,0.543,30.0,33.0,31.0,32.0,32.0,32.0,0.000
Steve Nash,WAS,38,58.0,54.4,-3.622,0.928,50.0,57.0,53.0,54.0,55.0,55.0,0.000
Jameer Nelson,FA,30,51.0,49.7,-1.279,1.060,47.0,52.0,48.0,49.0,50.0,51.0,0.038
David Noel,FA,28,43.0,39.4,-3.594,2.569,36.0,58.0,38.0,38.0,40.0,41.0,0.021
Steve Novak,BOS,29,51.0,47.1,-3.927,2.302,43.0,62.0,45.0,46.0,48.0,48.0,0.022
Dirk Nowitzki (PO),BKN,34,70.0,69.7,-0.330,0.669,68.0,71.0,69.0,69.0,70.0,70.0,0.090
Lamar Odom,LAC,33,56.0,55.2,-0.817,0.638,53.0,57.0,54.0,55.0,56.0,56.0,0.008
Emeka Okafor,MIN,30,64.0,63.9,-0.126,0.585,62.0,65.0,63.0,64.0,64.0,65.0,0.115
Mehmet Okur (PO),HOU,33,63.0,62.2,-0.797,0.564,61.0,64.0,62.0,62.0,63.0,63.0,0.002
Jermaine O'Neal,SA,34,58.0,55.7,-2.285,0.660,54.0,57.0,55.0,55.0,56.0,56.0,0.000
Travis Outlaw,FA,28,57.0,56.3,-0.655,1.399,54.0,67.0,55.0,56.0,57.0,57.0,0.028
Jannero Pargo,FA,33,47.0,42.5,-4.475,1.078,39.0,45.0,41.0,42.0,43.0,44.0,0.000
Smush Parker,FA,31,54.0,49.0,-4.982,0.935,47.0,52.0,48.0,48.0,50.0,50.0,0.000
Tony Parker,HOU,30,67.0,65.6,-1.388,0.593,64.0,67.0,65.0,65.0,66.0,66.0,0.000
Ruben Patterson,FA,37,44.0,37.9,-6.135,1.322,34.0,42.0,36.0,37.0,39.0,40.0,0.000
Chris Paul,UTA,27,62.0,60.2,-1.766,0.663,58.0,62.0,59.0,60.0,61.0,61.0,0.000
Sasha Pavlović,SA,29,54.0,52.6,-1.384,1.710,49.0,63.0,51.0,52.0,53.0,54.0,0.035
Kendrick Perkins,FA,28,41.0,36.9,-4.148,2.793,34.0,57.0,36.0,36.0,37.0,38.0,0.023
Johan Petro,FA,26,47.0,48.4,1.414,1.751,45.0,61.0,47.0,48.0,49.0,50.0,0.758
Paul Pierce,SA,35,66.0,62.5,-3.523,0.760,60.0,65.0,62.0,62.0,63.0,63.0,0.000
Mickaël Piétrus,FA,30,57.0,53.9,-3.065,0.863,51.0,56.0,53.0,53.0,55.0,55.0,0.000
James Posey,FA,35,45.0,38.0,-6.955,1.374,34.0,42.0,36.0,37.0,39.0,40.0,0.000
Leon Powe,FA,28,52.0,50.6,-1.360,1.940,47.0,63.0,49.0,50.0,51.0,52.0,0.058
Josh Powell,FA,29,39.0,38.4,-0.556,2.107,35.0,55.0,37.0,37.0,39.0,40.0,0.122
Ronnie Price,DEN,29,63.0,63.0,-0.022,0.735,61.0,65.0,62.0,62.0,63.0,64.0,0.221
Tayshaun Prince (PO),TOR,32,63.0,61.7,-1.334,0.580,60.0,63.0,61.0,61.0,62.0,62.0,0.000
Chris Quinn,FA,29,46.0,39.6,-6.429,2.664,36.0,59.0,38.0,39.0,40.0,41.0,0.019
Vladimir Radmanović,FA,32,49.0,42.5,-6.470,1.109,39.0,46.0,41.0,42.0,43.0,44.0,0.000
Zach Randolph,MEM,31,64.0,63.4,-0.635,0.573,62.0,65.0,63.0,63.0,64.0,64.0,0.007
Allan Ray,FA,28,45.0,42.6,-2.441,2.159,39.0,58.0,41.0,42.0,43.0,44.0,0.019
Michael Redd (PO),IND,33,68.0,66.6,-1.449,0.598,65.0,68.0,66.0,66.0,67.0,67.0,0.000
Jason Richardson (PO),CHA,31,61.0,57.9,-3.097,0.603,56.0,59.0,57.0,58.0,58.0,59.0,0.000
Quentin Richardson,FA,32,51.0,50.1,-0.885,1.042,47.0,53.0,49.0,49.0,51.0,51.0,0.087
Luke Ridnour,FA,31,54.0,49.1,-4.857,0.904,47.0,52.0,48.0,49.0,50.0,50.0,0.000
Lawrence Roberts,PHI,30,53.0,51.0,-1.981,0.905,48.0,54.0,50.0,50.0,52.0,52.0,0.001
Bernard Robinson,FA,32,27.0,19.9,-7.107,0.479,19.0,21.0,19.0,20.0,20.0,20.0,0.000
Nate Robinson,OKC,28,58.0,58.5,0.469,1.367,56.0,68.0,57.0,58.0,59.0,59.0,0.390
Sergio Rodríguez,FA,26,43.0,47.4,4.362,1.690,45.0,58.0,46.0,47.0,48.0,48.0,1.000
Rajon Rondo,MEM,26,62.0,61.2,-0.750,0.684,59.0,63.0,60.0,61.0,62.0,62.0,0.017
Quinton Ross,FA,31,44.0,37.9,-6.138,0.963,36.0,41.0,37.0,37.0,39.0,39.0,0.000
Brandon Roy,HOU,28,73.0,72.7,-0.334,0.714,71.0,75.0,72.0,72.0,73.0,74.0,0.109
Kareem Rush,FA,32,46.0,38.2,-7.752,0.895,36.0,41.0,37.0,38.0,39.0,39.0,0.000
Jamal Sampson,FA,29,42.0,38.9,-3.116,2.706,36.0,57.0,37.0,38.0,39.0,40.0,0.023
Brian Scalabrine,FA,34,37.0,32.9,-4.134,0.669,31.0,34.0,32.0,32.0,33.0,34.0,0.000
Thabo Sefolosha,FA,28,51.0,48.7,-2.321,1.913,45.0,63.0,47.0,48.0,49.0,50.0,0.018
Mouhamed Sene,FA,26,48.0,46.8,-1.234,2.131,43.0,61.0,45.0,46.0,47.0,48.0,0.064
Cedric Simmons,FA,26,39.0,36.8,-2.226,2.641,34.0,56.0,35.0,36.0,37.0,38.0,0.022
Craig Smith,FA,29,49.0,44.6,-4.434,2.376,41.0,61.0,43.0,44.0,45.0,46.0,0.020
Josh Smith,TOR,27,67.0,68.3,1.324,0.727,66.0,70.0,67.0,68.0,69.0,69.0,0.888
J.R. Smith,PHO,27,61.0,61.2,0.189,0.652,59.0,63.0,60.0,61.0,62.0,62.0,0.298
Darius Songaila,FA,34,27.0,23.2,-3.754,0.652,22.0,25.0,22.0,23.0,24.0,24.0,0.000
DeShawn Stevenson,FA,31,52.0,46.8,-5.157,1.097,44.0,50.0,45.0,46.0,48.0,48.0,0.000
Amar'e Stoudemire,BOS,30,67.0,66.7,-0.325,0.657,65.0,68.0,66.0,66.0,67.0,67.0,0.084
Salim Stoudamire,MIA,30,57.0,56.0,-0.970,0.579,55.0,58.0,55.0,56.0,56.0,57.0,0.001
Robert Swift,FA,27,43.0,40.1,-2.924,2.533,37.0,58.0,38.0,39.0,41.0,41.0,0.021
Wally Szczerbiak,FA,35,41.0,35.1,-5.908,1.067,32.0,38.0,34.0,34.0,36.0,36.0,0.000
Donell Taylor,FA,30,34.0,33.0,-1.022,0.669,31.0,35.0,32.0,33.0,33.0,34.0,0.002
Sebastian Telfair,FA,27,48.0,46.2,-1.797,2.234,43.0,61.0,44.0,45.0,47.0,48.0,0.039
Jason Terry,FA,35,52.0,45.2,-6.831,1.419,41.0,49.0,43.0,44.0,46.0,47.0,0.000
Etan Thomas,FA,34,27.0,22.8,-4.212,0.673,21.0,24.0,22.0,22.0,23.0,24.0,0.000
Tim Thomas,FA,35,43.0,37.0,-6.026,1.207,34.0,42.0,36.0,36.0,38.0,39.0,0.000
Tyrus Thomas,DEN,26,58.0,57.2,-0.802,1.404,56.0,67.0,56.0,57.0,57.0,58.0,0.031
Jamaal Tinsley,FA,34,53.0,47.4,-5.574,0.920,45.0,50.0,46.0,47.0,48.0,49.0,0.000
Ronny Turiaf,DAL,29,53.0,49.6,-3.426,1.941,46.0,63.0,48.0,48.0,50.0,51.0,0.017
Hedo Türkoğlu,DEN,33,61.0,58.7,-2.317,0.684,57.0,61.0,58.0,58.0,59.0,60.0,0.000
Ime Udoka,FA,35,40.0,33.4,-6.564,1.259,30.0,38.0,32.0,33.0,34.0,35.0,0.000
Beno Udrih,FA,30,43.0,38.8,-4.187,1.061,36.0,42.0,37.0,38.0,40.0,40.0,0.000
Anderson Varejão,FA,30,58.0,57.5,-0.471,0.570,56.0,59.0,57.0,57.0,58.0,58.0,0.021
Charlie Villanueva,NOL,28,57.0,56.5,-0.513,1.499,54.0,68.0,55.0,56.0,57.0,57.0,0.061
Sasha Vujačić,FA,28,54.0,52.3,-1.672,1.567,49.0,65.0,51.0,51.0,53.0,54.0,0.023
Dwyane Wade,DAL,30,72.0,71.5,-0.536,0.664,70.0,73.0,71.0,71.0,72.0,72.0,0.041
Von Wafer,SA,27,55.0,50.8,-4.188,1.883,48.0,64.0,49.0,50.0,51.0,52.0,0.017
Ben Wallace,BKN,38,49.0,41.2,-7.808,1.615,36.0,46.0,39.0,40.0,42.0,43.0,0.000
Gerald Wallace,DAL,30,68.0,68.5,0.501,0.569,67.0,70.0,68.0,68.0,69.0,69.0,0.498
