Name,Team,Age,Baseline,MeanOvr,MeanDelta,StdDelta,MinOvr,MaxOvr,Q10,Q25,Q75,Q90,PctPositive
Klay Thompson,MIN,31,63.0,60.5,-2.538,0.677,59.0,62.0,60.0,60.0,61.0,61.0,0.000
Tristan Thompson,NYK,30,54.0,52.7,-1.311,1.008,50.0,55.0,51.0,52.0,53.0,54.0,0.017
Trey Thompkins,FA,31,50.0,45.1,-4.933,1.120,42.0,48.0,44.0,44.0,46.0,46.0,0.000
Marcus Thornton (TO),CHI,34,62.0,60.9,-1.135,0.592,59.0,62.0,60.0,61.0,61.0,62.0,0.000
Jeremy Tyler,FA,30,34.0,33.5,-0.536,0.751,31.0,35.0,33.0,33.0,34.0,34.0,0.072
Greivis Vásquez (PO),MIN,34,61.0,58.4,-2.606,0.664,57.0,61.0,58.0,58.0,59.0,59.0,0.000
Jan Veselý,FA,31,45.0,37.9,-7.121,0.896,36.0,41.0,37.0,37.0,38.0,39.0,0.000
Nikola Vučević,FA,31,43.0,38.2,-4.773,1.068,36.0,41.0,37.0,37.0,39.0,40.0,0.000
Dwyane Wade (PO),OKC,39,62.0,58.6,-3.430,0.867,56.0,61.0,57.0,58.0,59.0,60.0,0.000
Kemba Walker,WAS,31,69.0,67.9,-1.077,0.660,66.0,70.0,67.0,68.0,68.0,69.0,0.001
Gerald Wallace,FA,39,52.0,45.7,-6.285,1.485,42.0,49.0,44.0,45.0,47.0,48.0,0.000
John Wall,POR,31,62.0,61.8,-0.245,0.646,60.0,63.0,61.0,61.0,62.0,63.0,0.106
Hakim Warrick,FA,39,35.0,30.4,-4.586,0.984,27.0,33.0,29.0,30.0,31.0,32.0,0.000
C.J. Watson,FA,37,44.0,36.9,-7.131,1.352,33.0,41.0,35.0,36.0,38.0,39.0,0.000
Martell Webster,FA,35,48.0,41.4,-6.576,1.434,38.0,45.0,40.0,40.0,42.0,43.0,0.000
Russell Westbrook (PO),OKC,33,78.0,77.9,-0.128,0.496,77.0,79.0,77.0,78.0,78.0,78.0,0.067
David West,FA,41,46.0,39.0,-7.041,1.416,35.0,43.0,37.0,38.0,40.0,41.0,0.000
Deron Williams,HOU,37,61.0,57.4,-3.627,0.850,55.0,60.0,56.0,57.0,58.0,58.0,0.000
Derrick Williams,IND,30,49.0,47.3,-1.728,1.043,44.0,50.0,46.0,47.0,48.0,49.0,0.013
Elliot Williams,FA,32,51.0,44.0,-6.998,0.922,41.0,47.0,43.0,43.0,45.0,45.0,0.000
Jordan Williams,DET,31,66.0,65.3,-0.689,0.653,64.0,67.0,65.0,65.0,66.0,66.0,0.016
Lou Williams (PO),CHI,35,66.0,62.9,-3.126,0.777,61.0,65.0,62.0,62.0,63.0,64.0,0.000
Marvin Williams (TO),SAC,35,62.0,58.6,-3.440,0.837,56.0,61.0,58.0,58.0,59.0,60.0,0.000
Reggie Williams,CHI,35,54.0,46.8,-7.188,1.644,42.0,52.0,45.0,46.0,48.0,49.0,0.000
Terrence Williams,FA,34,53.0,45.9,-7.113,0.930,43.0,48.0,45.0,45.0,46.0,47.0,0.000
Brandan Wright,SA,34,57.0,54.3,-2.701,0.779,52.0,56.0,53.0,54.0,55.0,55.0,0.000
Dorell Wright (PO),MIN,36,65.0,61.3,-3.723,0.770,59.0,64.0,60.0,61.0,62.0,62.0,0.000
